ICI0042,28,200,50,263,8,33,33,75,75,5,245,20,5,525,870,406,425,8,450,20,3,39,75,8,50,18,115,3,25,75,32,125,125,3,3,36,363,5
ICI0054,700,700,50,100,75,210,35,315,75,7,60,23,14,25,31,190,100,15,140,100,108,3,120,27,200,23,23,5,35,65,8,650,4,150,25,250,325,75
ICI0044,55,400,100,525,15,65,65,150,150,10,490,40,10,1050,1740,813,850,15,900,40,6,77,150,17,100,35,231,6,50,150,65,250,249,6,5,72,725,10
ICI0045,110,430,13,13,55,315,19,100,40,65,125,62,13,75,351,164,1150,13,250,23,13,13,60,38,250,81,13,13,13,13,33,60,13,13,25,125,50,13
ICI0007,435,1800,50,650,20,115,70,80,40,50,150,50,50,301,759,1213,100,50,500,40,390,50,500,11,300,370,50,250,50,100,50,275,50,50,20,98,160,100
ICI0046,70,260,8,8,8,90,8,8,30,5,130,12,10,800,1709,1762,1300,8,150,8,8,8,170,0,200,52,8,8,8,8,9,45,8,8,60,50,8,8
ICI0064,385,1675,63,156,225,90,40,85,1000,45,400,71,26,500,97,1034,2800,20,950,6,30,75,340,50,150,153,124,106,43,26,22,120,314,30,25,143,64,18
ICI0056,120,400,26,50,50,75,13,210,10,45,100,28,5,26,70,4,86,4,220,250,4,4,300,0,200,30,27,13,4,30,11,100,63,13,30,50,13,13
ICI0066,160,600,50,16,15,45,16,16,200,45,200,170,16,98,80,16,16,16,170,400,16,16,260,200,100,113,218,60,16,100,47,700,800,150,200,100,400,500
ICI0013,6,29,30,10,0,18,15,14,60,10,30,44,38,50,18,130,12,10,21,20,1,1,1,12,45,5,1,1,10,1,5,10,78,1,10,30,1,10
ICI0014,6,28,30,10,0,35,15,16,80,10,30,49,36,30,16,130,16,6,8,20,1,1,1,3,60,5,1,1,10,1,5,10,16,1,10,30,1,10
ICI0015,6,26,30,10,0,18,15,28,60,8,40,51,38,30,6,130,22,7,32,20,1,1,1,1,55,5,1,1,10,1,4,10,61,1,10,110,1,10
ICI0016,6,23,10,10,0,40,15,28,50,8,30,52,33,30,6,130,24,4,5,20,1,1,1,0,85,5,1,1,10,1,4,10,14,1,10,50,1,10
ICI0063,1,22,10,6,0,6,6,6,13,12,20,20,6,40,2,166,23,31,33,50,6,6,30,12,93,24,9,40,12,6,50,4,8,6,10,26,33,10
ICI0059,10,72,13,13,1,25,13,25,50,5,60,27,35,80,16,210,56,13,23,250,13,25,45,6,241,120,17,50,25,40,32,11,23,100,15,13,25,35
ICI0075,10,71,2,7,0,2,3,20,27,15,23,17,38,17,4,233,15,3,127,133,2,2,19,5,100,33,11,33,7,2,28,7,53,100,33,7,3,17
ICI0076,13,24,33,8,0,9,8,17,27,8,20,20,36,50,7,233,19,8,150,100,8,8,19,2,134,67,9,37,8,13,27,9,80,67,27,8,8,12
ICI0006,55,215,6,6,28,158,9,50,20,33,63,31,6,38,176,82,575,6,125,12,6,6,30,19,125,41,6,6,6,6,17,30,6,6,13,63,25,6
ICI0074,1,17,8,5,0,5,5,5,10,9,15,15,5,30,2,125,18,23,25,38,5,5,23,9,70,19,7,30,9,5,38,3,6,5,8,20,25,8
ICI0072,1,34,2,20,0,2,20,2,40,12,40,60,100,20,4,4000,10,2,30,200,2,2,58,8,245,24,23,50,10,2,131,10,12,2,20,12,18,2
