170965109098840,RBW2012110002,2012-11-14,2012-11-16,
171024469027138,RBW2012110003,2012-11-14,2012-11-14,
171024469027138,RBW2012110003,2012-11-14,2012-11-14,
171077935663632,RBW2012110004,,,
171077935663632,RBW2012110004,,,
171158171702407,RBW2012110005,2012-11-14,2012-11-16,
171158171702407,RBW2012110005,2012-11-14,2012-11-16,
171161093921270,RBW2012110006,,,
171210389034534,RBW2012110007,,,
171221855356166,RBW2012110008,,,
171222221963268,RBW2012110009,,,
171222221963268,RBW2012110009,,,
171247815771536,RBW2012110010,2012-11-14,2012-11-16,
171247815771536,RBW2012110010,2012-11-14,2012-11-16,
171273668982521,RBW2012110011,,,
171288770076826,RBW2012110012,,,
171291061675972,RBW2012110013,2012-11-14,2012-11-16,
171353780411620,RBW2012110014,2012-11-14,2012-11-16,
171404892359412,RBW2012110015,2012-11-14,2012-11-16,
171415458701686,RBW2012110016,,,
171415458701686,RBW2012110016,,,
171425500324331,RBW2012110017,2012-11-14,2012-11-14,
171491782180487,RBW2012110018,2012-11-14,2012-11-14,
171491782180487,RBW2012110018,2012-11-14,2012-11-14,
171491782180487,RBW2012110018,2012-11-14,2012-11-14,
171608818787613,RBW2012110019,,,
171608818787613,RBW2012110019,,,
171620667085468,RBW2012110020,,,
171673428054869,RBW2012110021,2012-11-14,2012-11-14,
171673428054869,RBW2012110021,2012-11-14,2012-11-14,
171687971007383,RBW2012110022,2012-11-14,2012-11-14,
171688463007675,RBW2012110023,,,
171696691842539,RBW2012110024,2012-11-14,2012-11-16,
171725051038899,RBW2012110025,,,
171725051038899,RBW2012110025,,,
171746854078402,RBW2012110026,2012-11-14,2012-11-16,
171746854078402,RBW2012110026,2012-11-14,2012-11-16,
171748144682539,RBW2012110027,2012-11-14,2012-11-16,
171774304148913,RBW2012110028,2012-11-14,2012-11-14,
171774304148913,RBW2012110028,2012-11-14,2012-11-14,
171869829479834,RBW2012110029,,,
171869829479834,RBW2012110029,,,
194631032104869,RBW2012110030,2012-11-14,2012-11-14,
194631032104869,RBW2012110030,2012-11-14,2012-11-14,
194652235210058,RBW2012110031,2012-11-14,2012-11-16,
194652235210058,RBW2012110031,2012-11-14,2012-11-16,
194767830137575,RBW2012110032,,,
194767830137575,RBW2012110032,,,
194767830137575,RBW2012110032,,,
194767830137575,RBW2012110032,,,
194767830137575,RBW2012110032,,,
194767830137575,RBW2012110032,,,
194948759088947,RBW2012110033,,,
